idTemporada,#,nombre,posición,nacionalidad,club,idClub,partidosJugados,asistencias,penales,minutosJugados,minutosPorGol,golesPorPartido,goles
T14,5,Karim Benzema,Delantero centro,Francia,Real Madrid,C26,35,10,0,2747.0,162.0,49.0,17.0
T14,6,Carlos Vela,Extremo derecho,México,Real Sociedad,C29,37,12,2,3104.0,194.0,43.0,16.0
T14,7,Aritz Aduriz,Delantero centro,España,Athletic,C2,31,9,2,2400.0,150.0,52.0,16.0
T14,8,Antoine Griezmann,Delantero centro,Francia,Real Sociedad,C29,35,4,0,2652.0,166.0,46.0,16.0
T14,9,Gareth Bale,Extremo derecho,Gales,Real Madrid,C26,27,13,0,2066.0,138.0,56.0,15.0
T14,10,Pedro,Extremo derecho,España,FC Barcelona,C11,37,10,0,2356.0,157.0,41.0,15.0
T15,1,Cristiano Ronaldo,Delantero centro,Portugal,Real Madrid,C26,35,17,10,3096.0,65.0,137.0,48.0
T15,2,Lionel Messi,Extremo derecho,Argentina,FC Barcelona,C11,38,21,5,3375.0,78.0,113.0,43.0
T15,3,Neymar,Extremo izquierdo,Brasil,FC Barcelona,C11,33,9,1,2565.0,117.0,67.0,22.0
T15,4,Antoine Griezmann,Delantero centro,Francia,Atlético Madrid,C3,37,3,0,2462.0,112.0,59.0,22.0
T15,5,Carlos Bacca,Delantero centro,Colombia,Sevilla FC,C36,37,7,6,2546.0,127.0,54.0,20.0
T15,6,Aritz Aduriz,Delantero centro,España,Athletic,C2,31,7,5,2582.0,143.0,58.0,18.0
T15,7,Alberto Bueno,Mediapunta,España,Rayo Vallecano,C24,36,4,2,2874.0,169.0,47.0,17.0
T15,8,Luis Suárez,Delantero centro,Uruguay,FC Barcelona,C11,27,16,0,2169.0,136.0,59.0,16.0
T15,9,Karim Benzema,Delantero centro,Francia,Real Madrid,C26,29,11,0,2293.0,153.0,52.0,15.0
T15,10,Sergio García,Delantero centro,España,RCD Espanyol,C21,35,9,2,3021.0,216.0,40.0,14.0
T16,1,Luis Suárez,Delantero centro,Uruguay,FC Barcelona,C11,35,18,3,3150.0,79.0,114.0,40.0
T16,2,Cristiano Ronaldo,Delantero centro,Portugal,Real Madrid,C26,36,11,6,3182.0,91.0,97.0,35.0
T16,3,Lionel Messi,Extremo derecho,Argentina,FC Barcelona,C11,33,16,3,2730.0,105.0,79.0,26.0
T16,4,Neymar,Extremo izquierdo,Brasil,FC Barcelona,C11,34,16,5,3055.0,127.0,71.0,24.0
T16,5,Karim Benzema,Delantero centro,Francia,Real Madrid,C26,27,8,0,1976.0,82.0,89.0,24.0
T16,6,Antoine Griezmann,Delantero centro,Francia,Atlético Madrid,C3,38,6,1,3041.0,138.0,58.0,22.0
T16,7,Aritz Aduriz,Delantero centro,España,Athletic,C2,34,6,3,2776.0,139.0,59.0,20.0
T16,8,Gareth Bale,Extremo derecho,Gales,Real Madrid,C26,23,11,0,1733.0,91.0,83.0,19.0
T16,9,Rubén Castro,Delantero centro,España,Real Betis,C25,38,3,3,3373.0,178.0,50.0,19.0
T16,10,Borja Bastón,Delantero centro,España,SD Eibar,C34,36,4,3,2571.0,143.0,50.0,18.0
